Deleting copies...Done
Creating a copy of your module... Done
Loading mutators... Done
Verifying and timing your test suite
Took 7.50 seconds to run full test suite
Running mutants for index.js
MUTANT 1:	MM Line 6:	return `\u001B[${code +- offset}m`;	killed 5934 ms
MUTANT 2:	MM Line 11:	return `\u001B[${38 +- offset};5;${code}m`;	killed 6481 ms
MUTANT 3:	MM Line 16:	return `\u001B[${38 +- offset};2;${rgb[0]};${rgb[1]};${rgb[2]}m`;	killed 6185 ms
MUTANT 4:	NCM Line 132:	if (typeof colorConvert[key] !===== 'object') {	killed 5724 ms
MUTANT 5:	NCM Line 138:	if (key ===!== 'ansi16') {	killed 6014 ms
MUTANT 6:	RAEM Line 23:	reset: [0, 0],	killed 6077 ms
MUTANT 7:	RAEM Line 23:	reset: [0, 0],	killed 6024 ms
MUTANT 8:	RAEM Line 25:	bold: [1, 22],	killed 5805 ms
MUTANT 9:	RAEM Line 25:	bold: [1, 22],	killed 5882 ms
MUTANT 10:	RAEM Line 26:	dim: [2, 22],	survived 6850 ms
MUTANT 11:	RAEM Line 26:	dim: [2, 22],	survived 8110 ms
MUTANT 12:	RAEM Line 27:	italic: [3, 23],	survived 6446 ms
MUTANT 13:	RAEM Line 27:	italic: [3, 23],	survived 5861 ms
MUTANT 14:	RAEM Line 28:	underline: [4, 24],	survived 5770 ms
MUTANT 15:	RAEM Line 28:	underline: [4, 24],	survived 5817 ms
MUTANT 16:	RAEM Line 29:	inverse: [7, 27],	survived 5821 ms
MUTANT 17:	RAEM Line 29:	inverse: [7, 27],	survived 5843 ms
MUTANT 18:	RAEM Line 30:	hidden: [8, 28],	survived 5967 ms
MUTANT 19:	RAEM Line 30:	hidden: [8, 28],	survived 5852 ms
MUTANT 20:	RAEM Line 31:	strikethrough: [9, 29]	survived 5991 ms
MUTANT 21:	RAEM Line 31:	strikethrough: [9, 29]	survived 6260 ms
MUTANT 22:	RAEM Line 34:	black: [30, 39],	survived 6186 ms
MUTANT 23:	RAEM Line 34:	black: [30, 39],	survived 6049 ms
MUTANT 24:	RAEM Line 35:	red: [31, 39],	survived 5830 ms
MUTANT 25:	RAEM Line 35:	red: [31, 39],	survived 5973 ms
MUTANT 26:	RAEM Line 36:	green: [32, 39],	killed 5863 ms
MUTANT 27:	RAEM Line 36:	green: [32, 39],	killed 5733 ms
MUTANT 28:	RAEM Line 37:	yellow: [33, 39],	survived 5802 ms
MUTANT 29:	RAEM Line 37:	yellow: [33, 39],	survived 5945 ms
MUTANT 30:	RAEM Line 38:	blue: [34, 39],	survived 5817 ms
MUTANT 31:	RAEM Line 38:	blue: [34, 39],	survived 5761 ms
MUTANT 32:	RAEM Line 39:	magenta: [35, 39],	survived 5767 ms
MUTANT 33:	RAEM Line 39:	magenta: [35, 39],	survived 6859 ms
MUTANT 34:	RAEM Line 40:	cyan: [36, 39],	survived 5978 ms
MUTANT 35:	RAEM Line 40:	cyan: [36, 39],	survived 6630 ms
MUTANT 36:	RAEM Line 41:	white: [37, 39],	survived 6013 ms
MUTANT 37:	RAEM Line 41:	white: [37, 39],	survived 5868 ms
MUTANT 38:	RAEM Line 42:	gray: [90, 39],	survived 6078 ms
MUTANT 39:	RAEM Line 42:	gray: [90, 39],	survived 5822 ms
MUTANT 40:	RAEM Line 45:	redBright: [91, 39],	killed 5944 ms
MUTANT 41:	RAEM Line 45:	redBright: [91, 39],	killed 6270 ms
MUTANT 42:	RAEM Line 46:	greenBright: [92, 39],	survived 6139 ms
MUTANT 43:	RAEM Line 46:	greenBright: [92, 39],	survived 8196 ms
MUTANT 44:	RAEM Line 47:	yellowBright: [93, 39],	survived 8663 ms
MUTANT 45:	RAEM Line 47:	yellowBright: [93, 39],	survived 5886 ms
MUTANT 46:	RAEM Line 48:	blueBright: [94, 39],	survived 5983 ms
MUTANT 47:	RAEM Line 48:	blueBright: [94, 39],	survived 5715 ms
MUTANT 48:	RAEM Line 49:	magentaBright: [95, 39],	survived 5860 ms
MUTANT 49:	RAEM Line 49:	magentaBright: [95, 39],	survived 5765 ms
MUTANT 50:	RAEM Line 50:	cyanBright: [96, 39],	survived 5999 ms
MUTANT 51:	RAEM Line 50:	cyanBright: [96, 39],	survived 6160 ms
MUTANT 52:	RAEM Line 51:	whiteBright: [97, 39]	survived 5824 ms
MUTANT 53:	RAEM Line 51:	whiteBright: [97, 39]	survived 5988 ms
MUTANT 54:	RAEM Line 54:	bgBlack: [40, 49],	killed 6500 ms
MUTANT 55:	RAEM Line 54:	bgBlack: [40, 49],	killed 6451 ms
MUTANT 56:	RAEM Line 55:	bgRed: [41, 49],	survived 6134 ms
MUTANT 57:	RAEM Line 55:	bgRed: [41, 49],	survived 6050 ms
MUTANT 58:	RAEM Line 56:	bgGreen: [42, 49],	killed 5972 ms
MUTANT 59:	RAEM Line 56:	bgGreen: [42, 49],	survived 5939 ms
MUTANT 60:	RAEM Line 57:	bgYellow: [43, 49],	survived 6044 ms
MUTANT 61:	RAEM Line 57:	bgYellow: [43, 49],	survived 5796 ms
MUTANT 62:	RAEM Line 58:	bgBlue: [44, 49],	survived 5988 ms
MUTANT 63:	RAEM Line 58:	bgBlue: [44, 49],	survived 5973 ms
MUTANT 64:	RAEM Line 59:	bgMagenta: [45, 49],	survived 6127 ms
MUTANT 65:	RAEM Line 59:	bgMagenta: [45, 49],	survived 6007 ms
MUTANT 66:	RAEM Line 60:	bgCyan: [46, 49],	survived 5903 ms
MUTANT 67:	RAEM Line 60:	bgCyan: [46, 49],	survived 5900 ms
